# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:22:31 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
   1  debut    0.00  -1000.000  1000.000  1000.000
   2  sd1a     0.90  -1000.000  1000.000  1000.000
   3  ssep     0.90  -1000.000  1000.000  1000.000
   4  sep      1.10  -1000.000  1000.000  1000.000
   5  sep      1.30  -1000.000  1000.000  1000.000
   6  sep      1.50  -1000.000  1000.000  1000.000
   7  esep     1.50  -1000.000  1000.000  1000.000
   8  sd1c     5.20  -1000.000  1000.000  1000.000
   9  ehu60    5.20  -1000.000  1000.000  1000.000
  10  sd1d     6.00  -1000.000  1000.000  1000.000
  11  qp1      6.16  -1000.000  1000.000  1000.000
  12  qp1      6.32  -1000.000  1000.000  1000.000
  13  sd2      6.71  -1000.000  1000.000  1000.000
  14  sx1      6.71  -1000.000  1000.000  1000.000
  15  sd3      6.91  -1000.000  1000.000  1000.000
  16  qp2      7.14  -1000.000  1000.000  1000.000
  17  qp2      7.37  -1000.000  1000.000  1000.000
  18  sd14     7.96  -1000.000  1000.000  1000.000
  19  qp3      8.12  -1000.000  1000.000  1000.000
  20  qp3      8.28  -1000.000  1000.000  1000.000
  21  sd5      8.48  -1000.000  1000.000  1000.000
  22  sx2      8.48  -1000.000  1000.000  1000.000
  23  sd6      9.27  -1000.000  1000.000  1000.000
  24  bend2    9.45  -1000.000  1000.000  1000.000
  25  bend3    9.62  -1000.000  1000.000  1000.000
  26  bend3    9.80  -1000.000  1000.000  1000.000
  27  bend3    9.97  -1000.000  1000.000  1000.000
  28  bend3   10.15  -1000.000  1000.000  1000.000
  29  bend4   10.32  -1000.000  1000.000  1000.000
  30  sd7     10.76  -1000.000  1000.000  1000.000
  31  qp4     10.92  -1000.000  1000.000  1000.000
  32  qp4     11.08  -1000.000  1000.000  1000.000
  33  sd8     11.28  -1000.000  1000.000  1000.000
  34  sx3     11.28  -1000.000  1000.000  1000.000
  35  sd9     11.76  -1000.000  1000.000  1000.000
  36  qp5     11.92  -1000.000  1000.000  1000.000
  37  qp5     12.08  -1000.000  1000.000  1000.000
  38  sd12    12.55  -1000.000  1000.000  1000.000
  39  sx4     12.55  -1000.000  1000.000  1000.000
  40  sd10    13.02  -1000.000  1000.000  1000.000
  41  qp5     13.18  -1000.000  1000.000  1000.000
  42  qp5     13.34  -1000.000  1000.000  1000.000
  43  sd9     13.82  -1000.000  1000.000  1000.000
  44  sx3     13.82  -1000.000  1000.000  1000.000
  45  sd8     14.02  -1000.000  1000.000  1000.000
  46  qp4     14.18  -1000.000  1000.000  1000.000
  47  qp4     14.34  -1000.000  1000.000  1000.000
  48  sd7     14.78  -1000.000  1000.000  1000.000
  49  bend2   14.95  -1000.000  1000.000  1000.000
  50  bend3   15.13  -1000.000  1000.000  1000.000
  51  bend3   15.30  -1000.000  1000.000  1000.000
  52  bend3   15.48  -1000.000  1000.000  1000.000
  53  bend3   15.65  -1000.000  1000.000  1000.000
  54  bend4   15.83  -1000.000  1000.000  1000.000
  55  sd7     16.27  -1000.000  1000.000  1000.000
