# TRACY II v. SYNCHROTRON SOLEIL -- fmap.out -- Mon Feb 16 09:22:33 2004 
# nu = f(x) 
#    x[m]          z[m]           fx            fz           dfx           dfz
 1.000000e-06  1.000000e-06 -1.992323e-01 -3.002353e-01  2.832811e-05  8.468330e-06
 1.000000e-06  2.001000e-03 -3.002252e-01 -3.002034e-01  2.627552e-05 -8.910415e-08
 1.000000e-06  2.829427e-03 -3.001365e-01 -3.001682e-01  6.537306e-05 -5.509173e-07
 1.000000e-06  3.465102e-03 -3.000135e-01 -3.001348e-01  2.800752e-04 -1.047953e-06
 1.000000e-06  4.001000e-03 -2.999704e-01 -3.001020e-01  4.509927e-05 -1.640044e-06
 1.000000e-06  4.473136e-03 -3.001276e-01 -3.000716e-01 -2.402868e-04  9.822605e-07
 1.000000e-06  4.899979e-03 -3.001551e-01 -3.000448e-01 -2.215303e-04  1.141979e-06
 1.000000e-06  5.292503e-03 -3.000546e-01 -3.000202e-01 -2.191549e-05  4.837340e-08
 1.000000e-06  5.657854e-03 -2.999881e-01 -2.999971e-01  2.598830e-05 -1.080883e-07
 1.000000e-06  6.001000e-03 -2.999846e-01 -2.999760e-01 -1.267601e-05  8.635034e-08
 1.000000e-06  6.325555e-03 -2.999660e-01 -2.999571e-01 -9.627242e-06  3.669514e-08
 1.000000e-06  6.634250e-03 -2.999410e-01 -2.999402e-01 -1.602580e-06 -2.065279e-08
 1.000000e-06  6.929203e-03 -2.999296e-01 -2.999254e-01 -1.429300e-05  1.245163e-08
 1.000000e-06  7.212103e-03 -2.999143e-01 -2.999125e-01 -1.138447e-05  2.504216e-08
 1.000000e-06  7.484315e-03 -2.998994e-01 -2.999016e-01  3.774852e-06  3.088727e-08
 1.000000e-06  7.746967e-03 -2.998905e-01 -2.998927e-01  1.341845e-05  7.225820e-08
 1.000000e-06  8.001000e-03 -2.998806e-01 -2.998856e-01  1.964695e-05  1.148456e-07
 1.000000e-06  8.247211e-03 -2.998738e-01 -2.998805e-01  2.089181e-05  1.571833e-07
 1.000000e-06  8.486281e-03 -2.998702e-01 -2.998772e-01  2.024102e-05  1.714972e-07
 1.000000e-06  8.718798e-03 -2.998673e-01 -2.998758e-01  2.147205e-05  1.828833e-07
 1.000000e-06  8.945272e-03 -2.998680e-01 -2.998762e-01  2.204578e-05  2.231258e-07
 1.000000e-06  9.166151e-03 -2.998705e-01 -2.998784e-01  2.378482e-05  2.947113e-07
 1.000000e-06  9.381832e-03 -2.998751e-01 -2.998823e-01  2.481624e-05  3.894528e-07
 1.000000e-06  9.592663e-03 -2.998826e-01 -2.998880e-01  2.203658e-05  3.906187e-07
 1.000000e-06  9.798959e-03 -2.998917e-01 -2.998953e-01  1.423798e-05  1.757371e-07
 1.000000e-06  1.000100e-02 -2.999036e-01 -2.999042e-01  1.648504e-07  5.736224e-08
 1.000000e-06  1.019904e-02 -2.999168e-01 -2.999148e-01 -1.343847e-05  6.407670e-07
 1.000000e-06  1.039330e-02 -2.999317e-01 -2.999271e-01 -1.775225e-05  4.855315e-07
 1.000000e-06  1.058401e-02 -2.999475e-01 -2.999411e-01 -9.130654e-06 -1.117216e-06
 1.000000e-06  1.077133e-02 -2.999635e-01 -2.999569e-01  2.165518e-06  7.604936e-07
 1.000000e-06  1.095545e-02 -2.999797e-01 -2.999746e-01 -4.574259e-06 -4.289062e-06
 1.000000e-06  1.113653e-02 -2.999955e-01 -2.999942e-01 -6.386925e-06 -3.381680e-06
 1.000000e-06  1.131471e-02 -3.000121e-01 -3.000154e-01  1.251567e-05  8.999600e-06
 1.000000e-06  1.149013e-02 -3.000301e-01 -3.000377e-01 -3.074732e-06 -2.696686e-06
 1.000000e-06  1.166290e-02 -3.000516e-01 -3.000607e-01  9.337147e-06  4.471040e-07
 1.000000e-06  1.183316e-02 -3.000779e-01 -3.000844e-01  2.393586e-05 -1.078404e-06
 1.000000e-06  1.200100e-02 -3.001101e-01 -3.001091e-01 -1.908794e-05 -9.086062e-07
 1.000000e-06  1.216653e-02 -3.001477e-01 -3.001353e-01 -1.867513e-05  9.250041e-08
 1.000000e-06  1.232983e-02 -3.001869e-01 -3.001631e-01  3.238626e-06  1.384227e-07
 1.000000e-06  1.249100e-02 -3.002225e-01 -3.001923e-01 -5.976412e-05 -6.520917e-07
 1.000000e-06  1.265011e-02 -3.002505e-01 -3.002225e-01 -1.411861e-05 -1.834974e-07
 1.000000e-06  1.280725e-02 -3.002718e-01 -3.002537e-01 -1.546318e-05 -1.760577e-07
 1.000000e-06  1.296248e-02 -3.002908e-01 -3.002859e-01 -1.970992e-05 -2.693213e-07
 1.000000e-06  1.311588e-02 -3.003135e-01 -3.003191e-01  2.187389e-05  2.658497e-07
 1.000000e-06  1.326750e-02 -3.003435e-01 -3.003534e-01 -3.268244e-06 -4.648169e-08
 1.000000e-06  1.341741e-02 -3.003809e-01 -3.003886e-01  1.511190e-05  1.923360e-07
 1.000000e-06  1.356566e-02 -3.004218e-01 -3.004247e-01  4.733265e-08  3.696315e-09
 1.000000e-06  1.371231e-02 -3.004616e-01 -3.004616e-01 -1.353693e-07 -1.692519e-09
 1.000000e-06  1.385741e-02 -3.004990e-01 -3.004991e-01  1.550933e-06  1.549955e-08
 1.000000e-06  1.400100e-02 -3.005358e-01 -3.005373e-01 -1.454152e-07 -2.413726e-09
 1.000000e-06  1.414314e-02 -3.005741e-01 -3.005762e-01  3.567369e-06  4.696960e-08
 1.000000e-06  1.428386e-02 -3.006144e-01 -3.006156e-01  3.236100e-07  1.936500e-08
 1.000000e-06  1.442321e-02 -3.006553e-01 -3.006554e-01  2.527261e-07  2.725818e-09
 1.000000e-06  1.456122e-02 -3.006957e-01 -3.006957e-01  5.120143e-07  4.049874e-09
 1.000000e-06  1.469794e-02 -3.007357e-01 -3.007363e-01 -2.098532e-07 -1.699783e-08
 1.000000e-06  1.483340e-02 -3.007764e-01 -3.007772e-01  1.656437e-06  2.386745e-08
 1.000000e-06  1.496763e-02 -3.008179e-01 -3.008183e-01 -4.444208e-08 -3.417477e-11
 1.000000e-06  1.510067e-02 -3.008595e-01 -3.008595e-01  5.682133e-08  1.822725e-10
 1.000000e-06  1.523255e-02 -3.009007e-01 -3.009007e-01  3.865962e-07  3.759402e-09
 1.000000e-06  1.536329e-02 -3.009412e-01 -3.009416e-01  2.922697e-07  3.792598e-07
 1.000000e-06  1.549293e-02 -3.009829e-01 -3.009833e-01  6.400685e-07 -1.310524e-07
 1.000000e-06  1.562150e-02 -3.010238e-01 -3.010240e-01 -1.535017e-08  3.618547e-10
 1.000000e-06  1.574902e-02 -3.010646e-01 -3.010646e-01 -2.004163e-08 -4.367275e-09
 1.000000e-06  1.587551e-02 -3.011047e-01 -3.011048e-01  1.724376e-07  2.448471e-09
 1.000000e-06  1.600100e-02 -3.011442e-01 -3.011444e-01  3.298305e-08 -2.307250e-08
 1.000000e-06  1.612552e-02 -3.011819e-01 -3.011821e-01  2.543957e-06  2.162133e-06
 1.000000e-06  1.624908e-02 -3.012228e-01 -3.012230e-01 -8.187921e-07 -9.199999e-07
 1.000000e-06  1.637171e-02 -3.012604e-01 -3.012604e-01 -1.745668e-08 -1.616091e-11
 1.000000e-06  1.649342e-02 -3.012973e-01 -3.012973e-01  1.077674e-07  1.397486e-09
 1.000000e-06  1.661425e-02 -3.013333e-01 -3.013334e-01 -2.759959e-08 -2.454306e-09
 1.000000e-06  1.673420e-02 -3.013683e-01 -3.013685e-01  5.324041e-07  2.303968e-07
 1.000000e-06  1.685330e-02 -3.014057e-01 -3.014059e-01  6.067776e-06  5.996303e-06
 1.000000e-06  1.697156e-02 -3.014343e-01 -3.014344e-01  8.269365e-08  2.197265e-08
 1.000000e-06  1.708901e-02 -3.014664e-01 -3.014664e-01 -8.221283e-08 -9.325326e-08
 1.000000e-06  1.720565e-02 -3.014971e-01 -3.014971e-01  5.723146e-08  3.384981e-09
 1.000000e-06  1.732151e-02 -3.015266e-01 -3.015266e-01 -1.190927e-07 -2.190064e-08
 1.000000e-06  1.743660e-02 -3.015556e-01 -3.015556e-01  1.795993e-07 -1.057713e-08
 1.000000e-06  1.755093e-02 -3.015842e-01 -3.015842e-01  4.283537e-07  8.404609e-09
 1.000000e-06  1.766452e-02 -3.016151e-01 -3.016152e-01 -2.892042e-08 -4.194875e-08
 1.000000e-06  1.777739e-02 -3.016557e-01 -3.016557e-01  9.788122e-08  1.365337e-07
 1.000000e-06  1.788954e-02 -2.326830e-01 -3.024160e-01  1.978525e-03  4.592465e-04
 1.000000e-06  1.800100e-02 -2.335924e-01 -3.023986e-01 -8.908215e-04 -2.855302e-04
 1.000000e-06  1.811177e-02 -2.326096e-01 -3.019243e-01  7.580358e-04  1.812493e-04
 1.000000e-06  1.822187e-02 -3.018580e-01 -3.018481e-01 -1.990373e-04 -1.791251e-04
 1.000000e-06  1.833130e-02 -3.018608e-01 -3.018555e-01 -3.063512e-05 -1.891474e-05
 1.000000e-06  1.844009e-02 -3.016697e-01 -3.016763e-01  1.079911e-04  1.033075e-04
 1.000000e-06  1.854824e-02 -3.016529e-01 -3.016553e-01 -4.909704e-05 -4.761016e-05
 1.000000e-06  1.865576e-02 -3.016219e-01 -3.016220e-01 -3.550489e-07 -3.611534e-07
 1.000000e-06  1.876266e-02 -3.016149e-01 -3.016149e-01 -4.156031e-09 -1.398625e-08
 1.000000e-06  1.886896e-02 -3.016058e-01 -3.016059e-01 -2.442093e-07 -2.257898e-07
 1.000000e-06  1.897467e-02 -3.015927e-01 -3.015927e-01  1.817788e-07  1.518912e-07
 1.000000e-06  1.907978e-02 -3.015758e-01 -3.015761e-01  2.182296e-06  1.699059e-06
 1.000000e-06  1.918433e-02 -3.015551e-01 -3.015548e-01  1.758898e-06  2.207166e-06
 1.000000e-06  1.928830e-02 -3.015315e-01 -3.015316e-01 -9.335916e-06 -9.179699e-06
 1.000000e-06  1.939172e-02 -3.015070e-01 -3.015072e-01 -2.326096e-07 -3.567670e-07
 1.000000e-06  1.949459e-02 -3.014838e-01 -3.014836e-01  5.355977e-06  5.530485e-06
 1.000000e-06  1.959692e-02 -3.014514e-01 -3.014519e-01 -7.704781e-07 -1.731099e-06
 1.000000e-06  1.969872e-02 -3.014191e-01 -3.014198e-01 -6.553765e-07 -1.640209e-06
 1.000000e-06  1.979999e-02 -3.013880e-01 -3.013877e-01  2.409461e-06  3.539144e-06
 1.000000e-06  1.990075e-02 -3.013510e-01 -3.013503e-01 -1.550645e-04 -1.543008e-04
 1.000000e-06  2.000100e-02 -3.011538e-01 -3.011527e-01 -6.407412e-02  1.313997e-04
 1.601000e-03  1.000000e-06 -1.997591e-01 -1.997309e-01  4.664380e-08 -2.435233e-05
 1.601000e-03  2.001000e-03 -2.001449e-01 -3.003894e-01 -1.131187e-06  2.243328e-05
 1.601000e-03  2.829427e-03 -2.005404e-01 -3.003596e-01 -6.088831e-06  1.753551e-05
 1.601000e-03  3.465102e-03 -2.009118e-01 -3.003402e-01  3.525457e-07 -5.735185e-07
 1.601000e-03  4.001000e-03 -2.012264e-01 -3.003131e-01 -1.484549e-05  1.019045e-05
 1.601000e-03  4.473136e-03 -2.015536e-01 -3.002782e-01 -4.501895e-06 -2.331362e-06
 1.601000e-03  4.899979e-03 -2.019244e-01 -3.002491e-01 -4.716619e-06  6.799902e-07
 1.601000e-03  5.292503e-03 -2.022785e-01 -3.002254e-01  2.149586e-06 -7.109708e-07
 1.601000e-03  5.657854e-03 -2.026209e-01 -3.002023e-01  3.965865e-06 -5.404661e-07
 1.601000e-03  6.001000e-03 -2.029795e-01 -3.001802e-01  1.604384e-07  5.380684e-08
 1.601000e-03  6.325555e-03 -2.033397e-01 -3.001602e-01  1.170990e-06 -9.680374e-08
 1.601000e-03  6.634250e-03 -2.036967e-01 -3.001419e-01  2.148349e-06 -2.171777e-07
 1.601000e-03  6.929203e-03 -2.040596e-01 -3.001252e-01  2.150588e-08 -2.828087e-08
 1.601000e-03  7.212103e-03 -2.044246e-01 -3.001103e-01  5.420858e-07  1.250402e-08
 1.601000e-03  7.484315e-03 -2.047899e-01 -3.000973e-01  2.439476e-06 -3.528309e-08
 1.601000e-03  7.746967e-03 -2.051598e-01 -3.000859e-01 -5.542475e-07  1.262594e-07
 1.601000e-03  8.001000e-03 -2.055316e-01 -3.000764e-01 -2.536614e-06  2.139126e-07
 1.601000e-03  8.247211e-03 -2.059049e-01 -3.000686e-01 -9.149724e-07  1.465288e-07
 1.601000e-03  8.486281e-03 -2.062823e-01 -3.000625e-01  9.150339e-08  2.151700e-08
