# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Mon Feb 16 09:22:32 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
   1:debut            0.00   0.002 10.568  0.000  0.203  0.000   0.000  7.968  0.000   4.949e-03   2.989e-04
   2:sd1a             0.90  -0.083 10.640  0.013  0.203  0.000  -0.111  8.068  0.018   5.218e-03   2.989e-04
   3:ssep             0.90  -0.083 10.640  0.013  0.203  0.000  -0.111  8.068  0.018   5.218e-03   2.989e-04
   4:sep              1.10  -0.101 10.677  0.016  0.203  0.000  -0.136  8.117  0.022   5.278e-03   2.989e-04
   5:sep              1.30  -0.120 10.722  0.019  0.203  0.000  -0.161  8.177  0.026   5.338e-03   2.989e-04
   6:sep              1.50  -0.139 10.773  0.022  0.203  0.000  -0.186  8.246  0.029   5.398e-03   2.989e-04
   7:esep             1.50  -0.139 10.773  0.022  0.203  0.000  -0.186  8.246  0.029   5.398e-03   2.989e-04
   8:sd1c             5.20  -0.486 13.084  0.073  0.203  0.000  -0.646 11.323  0.092   6.504e-03   2.989e-04
   9:ehu600           5.20  -0.486 13.084  0.073  0.203  0.000  -0.646 11.323  0.092   6.504e-03   2.989e-04
  10:sd1d             6.00  -0.560 13.921  0.082  0.203  0.000  -0.745 12.436  0.102   6.743e-03   2.989e-04
  11:qp1              6.16  -3.306 14.533  0.084  0.206  0.039   1.593 12.299  0.104   6.687e-03  -9.949e-04
  12:qp1              6.32  -6.456 16.079  0.085  0.216  0.079   3.739 11.437  0.107   6.426e-03  -2.259e-03
  13:sd2              6.71  -7.492 21.519  0.089  0.246  0.079   3.228  8.720  0.113   5.545e-03  -2.259e-03
  14:sx1              6.71  -7.492 21.519  0.089  0.246  0.079   3.228  8.720  0.113   5.545e-03  -2.259e-03
  15:sd3              6.91  -8.022 24.622  0.090  0.262  0.079   2.967  7.480  0.117   5.093e-03  -2.259e-03
  16:qp2              7.14   1.929 26.067  0.091  0.268 -0.026   0.076  6.801  0.122   4.816e-03  -1.661e-04
  17:qp2              7.37  11.203 22.952  0.093  0.250 -0.129  -2.787  7.406  0.127   5.015e-03   1.908e-03
  18:sd14             7.96   7.951 11.652  0.099  0.174 -0.129  -3.484 11.106  0.137   6.141e-03   1.908e-03
  19:qp3              8.12   5.999  9.433  0.101  0.155 -0.110  -2.285 12.035  0.140   6.391e-03   1.207e-03
  20:qp3              8.28   4.489  7.765  0.104  0.138 -0.094  -0.919 12.551  0.142   6.526e-03   4.821e-04
  21:sd5              8.48   3.945  6.078  0.109  0.120 -0.094  -0.948 12.924  0.144   6.622e-03   4.821e-04
  22:sx2              8.48   3.945  6.078  0.109  0.120 -0.094  -0.948 12.924  0.144   6.622e-03   4.821e-04
  23:sd6              9.27   1.793  1.545  0.150  0.046 -0.094  -1.063 14.513  0.153   7.003e-03   4.821e-04
  24:bend2            9.45   1.305  1.007  0.172  0.032 -0.060  -0.816 14.796  0.155   7.065e-03   3.534e-04
  25:bend3            9.62   0.839  0.630  0.208  0.025 -0.028  -0.836 15.086  0.157   7.127e-03   3.534e-04
  26:bend3            9.80   0.370  0.418  0.263  0.023  0.005  -0.856 15.383  0.159   7.189e-03   3.534e-04
  27:bend3            9.97  -0.101  0.371  0.336  0.026  0.038  -0.875 15.686  0.161   7.251e-03   3.534e-04
  28:bend3           10.15  -0.572  0.489  0.403  0.036  0.070  -0.895 15.997  0.162   7.313e-03   3.534e-04
  29:bend4           10.32  -1.054  0.772  0.449  0.051  0.103  -0.615 16.314  0.164   7.375e-03   2.179e-04
  30:sd7             10.76  -2.252  2.227  0.503  0.097  0.103  -0.652 16.872  0.168   7.471e-03   2.179e-04
  31:qp4             10.92  -3.370  3.116  0.513  0.115  0.127   3.056 16.482  0.170   7.375e-03  -1.419e-03
  32:qp4             11.08  -4.974  4.436  0.520  0.137  0.155   6.332 14.962  0.171   7.020e-03  -3.001e-03
  33:sd8             11.28  -6.135  6.658  0.525  0.168  0.155   5.783 12.539  0.174   6.420e-03  -3.001e-03
  34:sx3             11.28  -6.135  6.658  0.525  0.168  0.155   5.783 12.539  0.174   6.420e-03  -3.001e-03
  35:sd9             11.76  -8.899 13.819  0.533  0.242  0.155   4.475  7.653  0.181   4.990e-03  -3.001e-03
  36:qp5             11.92  -4.902 16.063  0.535  0.261  0.079   2.070  6.622  0.185   4.634e-03  -1.471e-03
  37:qp5             12.08   0.029 16.856  0.537  0.267 -0.002   0.073  6.285  0.189   4.516e-03  -9.306e-06
  38:sd12            12.55   0.002 16.841  0.541  0.266 -0.002  -0.001  6.251  0.201   4.511e-03  -9.306e-06
  39:sx4             12.55   0.002 16.841  0.541  0.266 -0.002  -0.001  6.251  0.201   4.511e-03  -9.306e-06
  40:sd10            13.02  -0.026 16.853  0.545  0.266 -0.002  -0.076  6.287  0.213   4.507e-03  -9.306e-06
  41:qp5             13.18   4.904 16.059  0.547  0.259 -0.081  -2.074  6.625  0.217   4.628e-03   1.531e-03
