#    dp           xind         zind        Betax(0)     Betaz(0)       Betax         betaz       Hx          Hz            etax        etaxp
#
-6.00000e-02 -2.08680e-02 -5.77447e-05 +1.83943e+01 +8.72797e+00 +2.43425e+01 +2.44905e+00 +5.34261e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.60000e-02 -1.91242e-02 -4.92765e-05 +1.82134e+01 +8.59018e+00 +2.35743e+01 +2.40780e+00 +5.32091e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.20000e-02 -1.74388e-02 -4.15147e-05 +1.79430e+01 +8.46400e+00 +2.28656e+01 +2.36765e+00 +5.28057e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.80000e-02 -1.58102e-02 -3.44509e-05 +1.75914e+01 +8.34968e+00 +2.22122e+01 +2.32815e+00 +5.22350e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.40000e-02 -1.42369e-02 -2.80768e-05 +1.71678e+01 +8.24760e+00 +2.16117e+01 +2.28888e+00 +5.15189e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-02 -1.27171e-02 -2.23831e-05 +1.66817e+01 +8.15819e+00 +2.10633e+01 +2.24943e+00 +5.06804e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.60000e-02 -1.12487e-02 -1.73591e-05 +1.61430e+01 +8.08191e+00 +2.05664e+01 +2.20949e+00 +4.97435e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.20000e-02 -9.83000e-03 -1.29924e-05 +1.55616e+01 +8.01922e+00 +2.01209e+01 +2.16878e+00 +4.87324e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.80000e-02 -8.45871e-03 -9.26919e-06 +1.49479e+01 +7.97051e+00 +1.97263e+01 +2.12712e+00 +4.76713e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.40000e-02 -7.13271e-03 -6.17469e-06 +1.43124e+01 +7.93602e+00 +1.93815e+01 +2.08444e+00 +4.65847e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.00000e-02 -5.84976e-03 -3.69355e-06 +1.36657e+01 +7.91574e+00 +1.90841e+01 +2.04075e+00 +4.54968e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.60000e-02 -4.60757e-03 -1.81058e-06 +1.30185e+01 +7.90934e+00 +1.88303e+01 +1.99617e+00 +4.44313e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.20000e-02 -3.40382e-03 -5.11412e-07 +1.23814e+01 +7.91606e+00 +1.86145e+01 +1.95094e+00 +4.34109e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-8.00000e-03 -2.23619e-03 +2.16779e-07 +1.17643e+01 +7.93466e+00 +1.84291e+01 +1.90534e+00 +4.24564e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-03 -1.10235e-03 +3.84632e-07 +1.11762e+01 +7.96331e+00 +1.82650e+01 +1.85975e+00 +4.15857e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+0.00000e+00 +0.00000e+00 +0.00000e+00 +1.06247e+01 +7.99964e+00 +1.81113e+01 +1.81455e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.00000e-03 +1.07313e-03 -9.32557e-07 +1.01157e+01 +8.04072e+00 +1.79569e+01 +1.77011e+00 +4.01487e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+8.00000e-03 +2.11923e-03 -2.41218e-06 +9.65297e+00 +8.08315e+00 +1.77911e+01 +1.72677e+00 +3.95973e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.20000e-02 +3.14043e-03 -4.44202e-06 +9.23800e+00 +8.12321e+00 +1.76049e+01 +1.68478e+00 +3.91594e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.60000e-02 +4.13876e-03 -7.02943e-06 +8.87029e+00 +8.15700e+00 +1.73919e+01 +1.64432e+00 +3.88311e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.00000e-02 +5.11615e-03 -1.01860e-05 +8.54746e+00 +8.18062e+00 +1.71491e+01 +1.60546e+00 +3.86051e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.40000e-02 +6.07438e-03 -1.39278e-05 +8.26570e+00 +8.19043e+00 +1.68769e+01 +1.56818e+00 +3.84717e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.80000e-02 +7.01514e-03 -1.82750e-05 +8.02030e+00 +8.18316e+00 +1.65787e+01 +1.53240e+00 +3.84198e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+3.20000e-02 +7.93995e-03 -2.32519e-05 +7.80610e+00 +8.15611e+00 +1.62597e+01 +1.49798e+00 +3.84377e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+3.60000e-02 +8.85020e-03 -2.88867e-05 +7.61794e+00 +8.10727e+00 +1.59267e+01 +1.46474e+00 +3.85134e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.00000e-02 +9.74712e-03 -3.52116e-05 +7.45097e+00 +8.03535e+00 +1.55864e+01 +1.43251e+00 +3.86354e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.40000e-02 +1.06318e-02 -4.22621e-05 +7.30085e+00 +7.93976e+00 +1.52453e+01 +1.40111e+00 +3.87926e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.80000e-02 +1.15053e-02 -5.00770e-05 +7.16390e+00 +7.82062e+00 +1.49092e+01 +1.37038e+00 +3.89747e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+5.20000e-02 +1.23683e-02 -5.86980e-05 +7.03702e+00 +7.67860e+00 +1.45827e+01 +1.34019e+00 +3.91721e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+5.60000e-02 +1.32215e-02 -6.81696e-05 +6.91775e+00 +7.51486e+00 +1.42695e+01 +1.31046e+00 +3.93757e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+6.00000e-02 +1.40656e-02 -7.85387e-05 +6.80416e+00 +7.33088e+00 +1.39726e+01 +1.28113e+00 +3.95776e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
