#    dp           xind         zind        Betax(0)     Betaz(0)       Betax         betaz       Hx          Hz            etax        etaxp
#
-6.00000e-02 -1.06453e-02 +2.61204e-18 +1.83943e+01 +8.72797e+00 +1.83943e+01 +8.72797e+00 +1.71132e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-5.60000e-02 -1.00117e-02 -7.58600e-18 +1.82134e+01 +8.59018e+00 +1.82134e+01 +8.59018e+00 +1.75489e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-5.20000e-02 -9.37302e-03 +3.68122e-18 +1.79430e+01 +8.46400e+00 +1.79430e+01 +8.46400e+00 +1.81075e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-4.80000e-02 -8.72717e-03 -1.21496e-17 +1.75914e+01 +8.34968e+00 +1.75914e+01 +8.34968e+00 +1.87916e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-4.40000e-02 -8.07238e-03 -3.28731e-18 +1.71678e+01 +8.24760e+00 +1.71678e+01 +8.24760e+00 +1.96057e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-4.00000e-02 -7.40712e-03 +5.10241e-18 +1.66817e+01 +8.15819e+00 +1.66817e+01 +8.15819e+00 +2.05560e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-3.60000e-02 -6.73006e-03 +1.79884e-19 +1.61430e+01 +8.08191e+00 +1.61430e+01 +8.08191e+00 +2.16495e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-3.20000e-02 -6.04009e-03 -3.26862e-19 +1.55616e+01 +8.01922e+00 +1.55616e+01 +8.01922e+00 +2.28945e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-2.80000e-02 -5.33633e-03 -8.69113e-18 +1.49479e+01 +7.97051e+00 +1.49479e+01 +7.97051e+00 +2.42990e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-2.40000e-02 -4.61814e-03 +2.03013e-18 +1.43124e+01 +7.93602e+00 +1.43124e+01 +7.93602e+00 +2.58702e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-2.00000e-02 -3.88511e-03 +6.18825e-18 +1.36657e+01 +7.91574e+00 +1.36657e+01 +7.91574e+00 +2.76131e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-1.60000e-02 -3.13707e-03 +2.87060e-18 +1.30185e+01 +7.90934e+00 +1.30185e+01 +7.90934e+00 +2.95288e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-1.20000e-02 -2.37410e-03 -7.45135e-19 +1.23814e+01 +7.91606e+00 +1.23814e+01 +7.91606e+00 +3.16131e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-8.00000e-03 -1.59654e-03 -3.97537e-19 +1.17643e+01 +7.93466e+00 +1.17643e+01 +7.93466e+00 +3.38541e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
-4.00000e-03 -8.04913e-04 +3.39971e-18 +1.11762e+01 +7.96331e+00 +1.11762e+01 +7.96331e+00 +3.62312e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+0.00000e+00 +0.00000e+00 +0.00000e+00 +1.06247e+01 +7.99964e+00 +1.06247e+01 +7.99964e+00 +0.00000e+00 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+4.00000e-03 +8.17247e-04 +3.23300e-18 +1.01157e+01 +8.04072e+00 +1.01157e+01 +8.04072e+00 +4.12656e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+8.00000e-03 +1.64570e-03 -3.25225e-18 +9.65297e+00 +8.08315e+00 +9.65297e+00 +8.08315e+00 +4.38392e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+1.20000e-02 +2.48411e-03 -6.55024e-18 +9.23800e+00 +8.12321e+00 +9.23800e+00 +8.12321e+00 +4.63875e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+1.60000e-02 +3.33109e-03 +6.18775e-19 +8.87029e+00 +8.15700e+00 +8.87029e+00 +8.15700e+00 +4.88646e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+2.00000e-02 +4.18519e-03 +7.68121e-18 +8.54746e+00 +8.18062e+00 +8.54746e+00 +8.18062e+00 +5.12310e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+2.40000e-02 +5.04490e-03 +4.63781e-18 +8.26570e+00 +8.19043e+00 +8.26570e+00 +8.19043e+00 +5.34568e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+2.80000e-02 +5.90868e-03 +7.45247e-19 +8.02030e+00 +8.18316e+00 +8.02030e+00 +8.18316e+00 +5.55232e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+3.20000e-02 +6.77500e-03 -1.08948e-18 +7.80610e+00 +8.15611e+00 +7.80610e+00 +8.15611e+00 +5.74228e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+3.60000e-02 +7.64232e-03 -7.03134e-18 +7.61794e+00 +8.10727e+00 +7.61794e+00 +8.10727e+00 +5.91573e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+4.00000e-02 +8.50915e-03 +7.53920e-18 +7.45097e+00 +8.03535e+00 +7.45097e+00 +8.03535e+00 +6.07352e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+4.40000e-02 +9.37403e-03 +6.01505e-18 +7.30085e+00 +7.93976e+00 +7.30085e+00 +7.93976e+00 +6.21690e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+4.80000e-02 +1.02356e-02 -7.83486e-18 +7.16390e+00 +7.82062e+00 +7.16390e+00 +7.82062e+00 +6.34733e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+5.20000e-02 +1.10924e-02 -8.76360e-19 +7.03702e+00 +7.67860e+00 +7.03702e+00 +7.67860e+00 +6.46627e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+5.60000e-02 +1.19432e-02 +3.02007e-18 +6.91775e+00 +7.51486e+00 +6.91775e+00 +7.51486e+00 +6.57506e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
+6.00000e-02 +1.27868e-02 +1.48585e-17 +6.80416e+00 +7.33088e+00 +6.80416e+00 +7.33088e+00 +6.67490e-03 +0.00000e+00 +2.02814e-01 +4.27586e-08 
