#    dp           xind         zind        Betax(0)     Betaz(0)       Betax         betaz       Hx          Hz            etax        etaxp
#
-6.00000e-02 -6.32113e-03 +2.33668e-04 +1.83943e+01 +8.72797e+00 +5.40572e+00 +1.51940e+00 +2.05419e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.60000e-02 -6.02179e-03 +1.97569e-04 +1.82134e+01 +8.59018e+00 +5.39308e+00 +1.51660e+00 +2.14429e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.20000e-02 -5.70611e-03 +1.64940e-04 +1.79430e+01 +8.46400e+00 +5.36243e+00 +1.51572e+00 +2.24865e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.80000e-02 -5.37350e-03 +1.35654e-04 +1.75914e+01 +8.34968e+00 +5.31522e+00 +1.51693e+00 +2.36624e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.40000e-02 -5.02348e-03 +1.09589e-04 +1.71678e+01 +8.24760e+00 +5.25322e+00 +1.52040e+00 +2.49608e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-02 -4.65570e-03 +8.66199e-05 +1.66817e+01 +8.15819e+00 +5.17845e+00 +1.52630e+00 +2.63716e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.60000e-02 -4.26990e-03 +6.66200e-05 +1.61430e+01 +8.08191e+00 +5.09303e+00 +1.53482e+00 +2.78855e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.20000e-02 -3.86593e-03 +4.94608e-05 +1.55616e+01 +8.01922e+00 +4.99917e+00 +1.54616e+00 +2.94934e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.80000e-02 -3.44376e-03 +3.50134e-05 +1.49479e+01 +7.97051e+00 +4.89911e+00 +1.56053e+00 +3.11871e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.40000e-02 -3.00346e-03 +2.31507e-05 +1.43124e+01 +7.93602e+00 +4.79505e+00 +1.57814e+00 +3.29588e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.00000e-02 -2.54522e-03 +1.37498e-05 +1.36657e+01 +7.91574e+00 +4.68916e+00 +1.59917e+00 +3.48015e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.60000e-02 -2.06936e-03 +6.69466e-06 +1.30185e+01 +7.90934e+00 +4.58344e+00 +1.62379e+00 +3.67083e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.20000e-02 -1.57631e-03 +1.87890e-06 +1.23814e+01 +7.91606e+00 +4.47969e+00 +1.65209e+00 +3.86722e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-8.00000e-03 -1.06661e-03 -7.91668e-07 +1.17643e+01 +7.93466e+00 +4.37941e+00 +1.68411e+00 +4.06851e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-03 -5.40924e-04 -1.39683e-06 +1.11762e+01 +7.96331e+00 +4.28369e+00 +1.71977e+00 +4.27378e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+0.00000e+00 +0.00000e+00 +0.00000e+00 +1.06247e+01 +7.99964e+00 +4.19319e+00 +1.75887e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.00000e-03 +5.55310e-04 +3.35329e-06 +1.01157e+01 +8.04072e+00 +4.10810e+00 +1.80109e+00 +4.69159e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+8.00000e-03 +1.12408e-03 +8.63656e-06 +9.65297e+00 +8.08315e+00 +4.02821e+00 +1.84594e+00 +4.90147e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.20000e-02 +1.70532e-03 +1.58431e-05 +9.23800e+00 +8.12321e+00 +3.95299e+00 +1.89282e+00 +5.11021e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.60000e-02 +2.29799e-03 +2.49864e-05 +8.87029e+00 +8.15700e+00 +3.88175e+00 +1.94098e+00 +5.31669e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
