#    dp           xind         zind        Betax(0)     Betaz(0)       Betax         betaz       Hx          Hz            etax        etaxp
#
-6.00000e-02 -1.75340e-02 -5.23539e-04 +1.83943e+01 +8.72797e+00 +3.00818e+01 +6.52563e+00 +6.12092e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.60000e-02 -1.62939e-02 -4.45054e-04 +1.82134e+01 +8.59018e+00 +2.96003e+01 +6.58548e+00 +5.65067e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-5.20000e-02 -1.50566e-02 -3.73008e-04 +1.79430e+01 +8.46400e+00 +2.89936e+01 +6.63586e+00 +5.23203e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.80000e-02 -1.38248e-02 -3.07501e-04 +1.75914e+01 +8.34968e+00 +2.82776e+01 +6.67631e+00 +4.86880e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.40000e-02 -1.26008e-02 -2.48563e-04 +1.71678e+01 +8.24760e+00 +2.74684e+01 +6.70633e+00 +4.56277e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-02 -1.13864e-02 -1.96168e-04 +1.66817e+01 +8.15819e+00 +2.65828e+01 +6.72537e+00 +4.31400e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.60000e-02 -1.01833e-02 -1.50239e-04 +1.61430e+01 +8.08191e+00 +2.56369e+01 +6.73293e+00 +4.12110e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-3.20000e-02 -8.99296e-03 -1.10656e-04 +1.55616e+01 +8.01922e+00 +2.46468e+01 +6.72858e+00 +3.98146e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.80000e-02 -7.81640e-03 -7.72653e-05 +1.49479e+01 +7.97051e+00 +2.36285e+01 +6.71203e+00 +3.89155e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.40000e-02 -6.65448e-03 -4.98858e-05 +1.43124e+01 +7.93602e+00 +2.25975e+01 +6.68322e+00 +3.84707e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-2.00000e-02 -5.50772e-03 -2.83149e-05 +1.36657e+01 +7.91574e+00 +2.15691e+01 +6.64236e+00 +3.84316e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.60000e-02 -4.37636e-03 -1.23373e-05 +1.30185e+01 +7.90934e+00 +2.05582e+01 +6.59003e+00 +3.87449e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-1.20000e-02 -3.26036e-03 -1.73192e-06 +1.23814e+01 +7.91606e+00 +1.95790e+01 +6.52721e+00 +3.93545e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-8.00000e-03 -2.15940e-03 +3.72082e-06 +1.17643e+01 +7.93466e+00 +1.86444e+01 +6.45528e+00 +4.02021e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
-4.00000e-03 -1.07289e-03 +4.23242e-06 +1.11762e+01 +7.96331e+00 +1.77656e+01 +6.37598e+00 +4.12295e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+0.00000e+00 +0.00000e+00 +0.00000e+00 +1.06247e+01 +7.99964e+00 +1.69518e+01 +6.29135e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.00000e-03 +1.06031e-03 -8.79912e-06 +1.01157e+01 +8.04072e+00 +1.62091e+01 +6.20362e+00 +4.36007e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+8.00000e-03 +2.10928e-03 -2.20120e-05 +9.65297e+00 +8.08315e+00 +1.55411e+01 +6.11511e+00 +4.48466e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.20000e-02 +3.14831e-03 -3.95137e-05 +9.23800e+00 +8.12321e+00 +1.49480e+01 +6.02806e+00 +4.60821e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+1.60000e-02 +4.17893e-03 -6.12103e-05 +8.87029e+00 +8.15700e+00 +1.44273e+01 +5.94457e+00 +4.72837e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.00000e-02 +5.20275e-03 -8.70403e-05 +8.54746e+00 +8.18062e+00 +1.39744e+01 +5.86648e+00 +4.84413e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.40000e-02 +6.22145e-03 -1.16976e-04 +8.26570e+00 +8.19043e+00 +1.35826e+01 +5.79536e+00 +4.95571e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+2.80000e-02 +7.23677e-03 -1.51024e-04 +8.02030e+00 +8.18316e+00 +1.32444e+01 +5.73243e+00 +5.06442e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+3.20000e-02 +8.25043e-03 -1.89225e-04 +7.80610e+00 +8.15611e+00 +1.29518e+01 +5.67867e+00 +5.17233e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+3.60000e-02 +9.26416e-03 -2.31652e-04 +7.61794e+00 +8.10727e+00 +1.26970e+01 +5.63477e+00 +5.28192e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
+4.00000e-02 +1.02797e-02 -2.78412e-04 +7.45097e+00 +8.03535e+00 +1.24728e+01 +5.60124e+00 +5.39586e-03 +0.00000e+00 +0.00000e+00 +0.00000e+00 
