# TRACY II v. SYNCHROTRON SOLEIL -- fmapdp.out -- Mon Feb 16 09:27:05 2004 
# nu = f(x) 
#    dp[m]         x[m]           fx            fz           dfx           dfz
-6.000000e-02  1.000000e-06 -4.204721e-01 -4.204722e-01 -2.870718e-10 -5.226338e-10
-6.000000e-02  2.042241e-03 -2.784833e-01 -4.203625e-01 -3.527296e-08 -3.777592e-08
-6.000000e-02  2.887751e-03 -2.781762e-01 -4.202433e-01 -5.857778e-08 -2.649079e-08
-6.000000e-02  3.536534e-03 -2.778690e-01 -4.201158e-01  2.415933e-09  1.418592e-08
-6.000000e-02  4.083483e-03 -2.775614e-01 -4.199801e-01 -9.114180e-09  7.342881e-08
-6.000000e-02  4.565355e-03 -2.772530e-01 -4.198364e-01  1.870827e-08  9.037395e-08
-6.000000e-02  5.001000e-03 -2.769439e-01 -4.196852e-01  3.936549e-08 -1.326298e-07
-6.000000e-02  5.401617e-03 -2.766340e-01 -4.195260e-01  5.284258e-09  2.606862e-07
-6.000000e-02  5.774503e-03 -2.763235e-01 -4.193600e-01 -2.353147e-08 -3.473666e-07
-6.000000e-02  6.124724e-03 -2.760122e-01 -4.191865e-01  7.032458e-09  1.441519e-07
-6.000000e-02  6.455972e-03 -2.757002e-01 -4.190065e-01 -1.103112e-08 -2.835673e-07
-6.000000e-02  6.771032e-03 -2.753876e-01 -4.188187e-01  2.992276e-08  2.889676e-07
-6.000000e-02  7.072068e-03 -2.750746e-01 -4.186248e-01 -1.312605e-08 -1.492041e-08
-6.000000e-02  7.360801e-03 -2.747609e-01 -4.184241e-01 -4.322716e-10 -3.883185e-07
-6.000000e-02  7.638626e-03 -2.744469e-01 -4.182166e-01  1.989317e-08  8.046685e-07
-6.000000e-02  7.906694e-03 -2.741326e-01 -4.180025e-01 -3.545812e-08 -1.025546e-07
-6.000000e-02  8.165966e-03 -2.738179e-01 -4.177822e-01 -1.188353e-08  2.087764e-06
-6.000000e-02  8.417254e-03 -2.735030e-01 -4.175565e-01  2.608769e-08  1.108236e-07
-6.000000e-02  8.661254e-03 -2.731879e-01 -4.173252e-01 -9.686748e-08 -1.079919e-07
-6.000000e-02  8.898565e-03 -2.728715e-01 -4.170867e-01  2.511857e-07  1.735522e-07
-6.000000e-02  9.129709e-03 -2.725568e-01 -4.168428e-01 -5.011412e-07 -9.717895e-07
-6.000000e-02  9.355143e-03 -2.722414e-01 -4.165921e-01 -2.123335e-09  4.613445e-07
-6.000000e-02  9.575271e-03 -2.719257e-01 -4.163362e-01  3.955219e-08  3.104068e-08
-6.000000e-02  9.790450e-03 -2.716102e-01 -4.160757e-01 -8.430682e-07 -2.855061e-06
-6.000000e-02  1.000100e-02 -2.712933e-01 -4.158076e-01 -2.084859e-06 -9.481321e-06
-6.000000e-02  1.020721e-02 -2.709924e-01 -4.155415e-01 -6.366985e-07 -2.181109e-06
-6.000000e-02  1.040933e-02 -2.706636e-01 -4.152490e-01  2.849142e-06  1.665674e-05
-6.000000e-02  1.060760e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.080223e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.099342e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.118134e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.136615e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.154801e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.172704e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.190338e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.207715e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
