# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Wed Mar 17 19:37:58 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
   1:debut            0.00   0.002 10.672  0.000  0.203  0.000  -0.007  7.951  0.000   5.072e-03   3.263e-04
   2:sd1a             0.90  -0.082 10.744  0.013  0.203  0.000  -0.120  8.065  0.018   5.366e-03   3.263e-04
   3:ssep             0.90  -0.082 10.744  0.013  0.203  0.000  -0.120  8.065  0.018   5.366e-03   3.263e-04
   4:sep              1.10  -0.100 10.781  0.016  0.203  0.000  -0.144  8.118  0.022   5.431e-03   3.263e-04
   5:sep              1.30  -0.119 10.825  0.019  0.203  0.000  -0.169  8.181  0.026   5.497e-03   3.263e-04
   6:sep              1.50  -0.138 10.876  0.022  0.203  0.000  -0.194  8.254  0.030   5.562e-03   3.263e-04
   7:esep             1.50  -0.138 10.876  0.022  0.203  0.000  -0.194  8.254  0.030   5.562e-03   3.263e-04
   8:sd1c             5.20  -0.481 13.165  0.072  0.203  0.000  -0.655 11.398  0.091   6.769e-03   3.263e-04
   9:ehu600           5.20  -0.481 13.165  0.072  0.203  0.000  -0.655 11.398  0.091   6.769e-03   3.263e-04
  10:sd1d             6.00  -0.555 13.995  0.081  0.203  0.000  -0.755 12.526  0.102   7.030e-03   3.263e-04
  11:qp1              6.16  -3.314 14.608  0.083  0.206  0.039   1.599 12.390  0.104   6.975e-03  -1.022e-03
  12:qp1              6.32  -6.478 16.158  0.085  0.215  0.079   3.761 11.523  0.106   6.705e-03  -2.339e-03
  13:sd2              6.71  -7.515 21.616  0.088  0.246  0.079   3.249  8.789  0.112   5.793e-03  -2.339e-03
  14:sx1              6.71  -7.515 21.616  0.088  0.246  0.079   3.249  8.789  0.112   5.793e-03  -2.339e-03
  15:sd3              6.91  -8.046 24.728  0.089  0.262  0.079   2.986  7.542  0.116   5.325e-03  -2.339e-03
  16:qp2              7.14   1.945 26.175  0.091  0.268 -0.026   0.073  6.859  0.121   5.040e-03  -1.581e-04
  17:qp2              7.37  11.253 23.044  0.092  0.250 -0.129  -2.814  7.471  0.127   5.251e-03   2.005e-03
  18:sd14             7.96   7.986 11.693  0.098  0.174 -0.129  -3.517 11.206  0.137   6.434e-03   2.005e-03
  19:qp3              8.12   6.026  9.465  0.100  0.155 -0.110  -2.307 12.144  0.139   6.696e-03   1.270e-03
  20:qp3              8.28   4.511  7.790  0.103  0.138 -0.093  -0.929 12.665  0.141   6.839e-03   5.098e-04
  21:sd5              8.48   3.963  6.095  0.108  0.120 -0.093  -0.958 13.043  0.143   6.941e-03   5.098e-04
  22:sx2              8.48   3.963  6.095  0.108  0.120 -0.093  -0.958 13.043  0.143   6.941e-03   5.098e-04
  23:sd6              9.27   1.799  1.543  0.149  0.046 -0.093  -1.074 14.648  0.153   7.344e-03   5.098e-04
  24:bend2            9.45   1.307  1.003  0.172  0.033 -0.060  -0.825 14.934  0.154   7.409e-03   3.748e-04
  25:bend3            9.62   0.839  0.627  0.207  0.025 -0.028  -0.844 15.227  0.156   7.475e-03   3.748e-04
  26:bend3            9.80   0.366  0.415  0.263  0.023  0.005  -0.864 15.527  0.158   7.541e-03   3.748e-04
  27:bend3            9.97  -0.107  0.370  0.336  0.027  0.038  -0.884 15.833  0.160   7.607e-03   3.748e-04
  28:bend3           10.15  -0.581  0.491  0.403  0.036  0.070  -0.903 16.147  0.162   7.672e-03   3.748e-04
  29:bend4           10.32  -1.066  0.777  0.449  0.051  0.104  -0.620 16.467  0.163   7.738e-03   2.326e-04
  30:sd7             10.76  -2.271  2.245  0.503  0.097  0.104  -0.657 17.029  0.167   7.840e-03   2.326e-04
  31:qp4             10.92  -3.397  3.141  0.513  0.115  0.127   3.084 16.636  0.169   7.740e-03  -1.486e-03
  32:qp4             11.08  -5.012  4.471  0.519  0.138  0.155   6.390 15.102  0.171   7.368e-03  -3.147e-03
  33:sd8             11.28  -6.181  6.710  0.525  0.169  0.155   5.836 12.657  0.173   6.739e-03  -3.147e-03
  34:sx3             11.28  -6.181  6.710  0.525  0.169  0.155   5.836 12.657  0.173   6.739e-03  -3.147e-03
  35:sd9             11.76  -8.963 13.923  0.533  0.243  0.155   4.517  7.725  0.180   5.240e-03  -3.147e-03
  36:qp5             11.92  -4.937 16.184  0.535  0.261  0.079   2.091  6.685  0.184   4.866e-03  -1.545e-03
  37:qp5             12.08   0.030 16.982  0.536  0.268 -0.002   0.076  6.344  0.188   4.741e-03  -1.427e-05
  38:sd12            12.55   0.003 16.966  0.541  0.267 -0.002   0.002  6.307  0.200   4.735e-03  -1.427e-05
  39:sx4             12.55   0.003 16.966  0.541  0.267 -0.002   0.002  6.307  0.200   4.735e-03  -1.427e-05
  40:sd10            13.02  -0.025 16.977  0.545  0.266 -0.002  -0.072  6.340  0.212   4.728e-03  -1.427e-05
  41:qp5             13.18   4.940 16.177  0.546  0.259 -0.081  -2.086  6.680  0.215   4.854e-03   1.593e-03
  42:qp5             13.34   8.964 13.916  0.548  0.240 -0.157  -4.510  7.719  0.219   5.241e-03   3.269e-03
  43:sd9             13.82   6.180  6.702  0.556  0.165 -0.157  -5.826 12.642  0.227   6.799e-03   3.269e-03
  44:sx3             13.82   6.180  6.702  0.556  0.165 -0.157  -5.826 12.642  0.227   6.799e-03   3.269e-03
  45:sd8             14.02   5.011  4.464  0.562  0.134 -0.157  -6.379 15.083  0.229   7.453e-03   3.269e-03
  46:qp4             14.18   3.395  3.135  0.569  0.111 -0.130  -3.076 16.614  0.231   7.840e-03   1.562e-03
  47:qp4             14.34   2.271  2.239  0.578  0.092 -0.108   0.660 17.006  0.232   7.949e-03  -2.007e-04
  48:sd7             14.78   1.063  0.772  0.632  0.045 -0.108   0.623 16.441  0.236   7.861e-03  -2.007e-04
  49:bend2           14.95   0.577  0.487  0.678  0.029 -0.074   0.905 16.120  0.238   7.801e-03  -3.451e-04
  50:bend3           15.13   0.103  0.368  0.746  0.018 -0.042   0.886 15.806  0.240   7.740e-03  -3.451e-04
  51:bend3           15.30  -0.372  0.415  0.819  0.014 -0.009   0.866 15.499  0.241   7.680e-03  -3.451e-04
  52:bend3           15.48  -0.845  0.628  0.875  0.015  0.024   0.846 15.199  0.243   7.619e-03  -3.451e-04
  53:bend3           15.65  -1.314  1.007  0.910  0.022  0.056   0.827 14.905  0.245   7.559e-03  -3.451e-04
  54:bend4           15.83  -1.806  1.550  0.932  0.035  0.089   1.075 14.619  0.247   7.498e-03  -4.829e-04
  55:sd7             16.27  -3.014  3.671  0.962  0.074  0.089   1.011 13.701  0.252   7.286e-03  -4.829e-04
  56:qp6             16.43  -4.305  4.830  0.968  0.090  0.104   3.335 12.999  0.254   7.106e-03  -1.754e-03
  57:qp6             16.59  -6.093  6.478  0.972  0.108  0.122   5.280 11.607  0.256   6.727e-03  -2.971e-03
  58:sd5             16.79  -7.269  9.151  0.976  0.132  0.122   4.783  9.595  0.259   6.133e-03  -2.971e-03
  59:sx5             16.79  -7.269  9.151  0.976  0.132  0.122   4.783  9.595  0.259   6.133e-03  -2.971e-03
  60:sd4             17.18  -9.564 15.716  0.982  0.180  0.122   3.813  6.242  0.267   4.974e-03  -2.971e-03
  61:qp7             17.41  -1.257 18.306  0.984  0.197  0.025   0.687  5.246  0.273   4.581e-03  -4.759e-04
  62:qp7             17.64   7.617 16.784  0.986  0.191 -0.075  -2.103  5.560  0.280   4.751e-03   1.966e-03
  63:sd3             17.84   6.914 13.877  0.988  0.176 -0.075  -2.298  6.440  0.285   5.144e-03   1.966e-03
  64:sx6             17.84   6.914 13.877  0.988  0.176 -0.075  -2.298  6.440  0.285   5.144e-03   1.966e-03
  65:sd2             18.23   5.543  9.019  0.993  0.147 -0.075  -2.678  8.380  0.294   5.911e-03   1.966e-03
  66:qp8             18.39   2.926  7.684  0.996  0.138 -0.036  -0.383  8.877  0.297   6.087e-03   2.335e-04
  67:qp8             18.55   0.827  7.092  1.000  0.135  0.001   1.977  8.618  0.300   5.985e-03  -1.505e-03
  68:sd13c           19.28   0.654  6.007  1.018  0.135  0.001   1.561  6.026  0.316   4.883e-03  -1.505e-03
  69:ssdm            19.28   0.654  6.007  1.018  0.135  0.001   1.561  6.026  0.316   4.883e-03  -1.505e-03
  70:sd13a           19.48   0.607  5.755  1.023  0.135  0.001   1.447  5.425  0.321   4.582e-03  -1.505e-03
  71:sd13a           19.68   0.560  5.522  1.029  0.136  0.001   1.334  4.869  0.327   4.281e-03  -1.505e-03
  72:sd13a           19.88   0.512  5.308  1.035  0.136  0.001   1.220  4.358  0.334   3.980e-03  -1.505e-03
  73:sd13a           20.08   0.465  5.112  1.041  0.136  0.001   1.106  3.893  0.342   3.679e-03  -1.505e-03
  74:sd13a           20.28   0.418  4.936  1.047  0.136  0.001   0.992  3.473  0.351   3.378e-03  -1.505e-03
  75:sd13a           20.48   0.371  4.778  1.053  0.136  0.001   0.879  3.099  0.360   3.077e-03  -1.505e-03
  76:sd13a           20.68   0.324  4.639  1.060  0.136  0.001   0.765  2.770  0.371   2.776e-03  -1.505e-03
  77:sd13a           20.88   0.277  4.519  1.067  0.136  0.001   0.651  2.487  0.383   2.475e-03  -1.505e-03
  78:sd13a           21.08   0.229  4.418  1.074  0.137  0.001   0.538  2.249  0.397   2.174e-03  -1.505e-03
  79:sd13a           21.28   0.182  4.335  1.081  0.137  0.001   0.424  2.057  0.411   1.873e-03  -1.505e-03
  80:sd13a           21.48   0.135  4.272  1.089  0.137  0.001   0.310  1.910  0.427   1.572e-03  -1.505e-03
  81:sd13a           21.68   0.088  4.227  1.096  0.137  0.001   0.197  1.808  0.444   1.271e-03  -1.505e-03
  82:sd13a           21.88   0.041  4.202  1.104  0.137  0.001   0.083  1.752  0.462   9.700e-04  -1.505e-03
  83:sd13b           22.03   0.005  4.195  1.109  0.137  0.001  -0.002  1.740  0.476   7.443e-04  -1.505e-03
  84:sd13b           22.18  -0.030  4.198  1.115  0.137  0.001  -0.088  1.754  0.489   5.186e-04  -1.505e-03
  85:sd13a           22.38  -0.077  4.220  1.123  0.137  0.001  -0.201  1.812  0.507   2.176e-04  -1.505e-03
