        Element         Pos [m]     Min. X [mm]    Media X [mm]     Max. X [mm]     Min. Y [mm]    Media Y [mm]     Max. Y [mm]
         INICIO       0.0000000      -0.6093146      -0.0025523       0.6190886      -0.0631258       0.0001350       0.0630892
            MQF       0.0000000      -0.6093146      -0.0025523       0.6190886      -0.0631258       0.0001350       0.0630892
             QF       0.0000000      -0.6093146      -0.0025523       0.6190886      -0.0631258       0.0001350       0.0630892
            HLT       0.1000000      -0.6034699      -0.0025262       0.6131766      -0.0637536       0.0001366       0.0636380
            MLT       1.1730000      -0.4794750      -0.0019808       0.4875819      -0.0779426       0.0001674       0.0778832
            HLT       1.1730000      -0.4794750      -0.0019808       0.4875819      -0.0779426       0.0001674       0.0778832
            HLT       2.2460000      -0.3571476      -0.0014354       0.3619873      -0.0932762       0.0001981       0.0933019
            MLT       3.3190000      -0.2395551      -0.0008900       0.2471022      -0.1096188       0.0002289       0.1097825
            HLT       3.3190000      -0.2395551      -0.0008900       0.2471022      -0.1096188       0.0002289       0.1097825
             PB       4.1990000      -0.1534694      -0.0004427       0.1551748      -0.1231243       0.0002541       0.1237146
              B       4.1990000      -0.1534694      -0.0004427       0.1551748      -0.1231243       0.0002541       0.1237146
              B       4.2000000      -0.1533766      -0.0004422       0.1550703      -0.1231396       0.0002541       0.1237304
              B       4.3580000      -0.1387832      -0.0003689       0.1386324      -0.1255883       0.0002587       0.1262402
              B       4.3880000      -0.1360513      -0.0003552       0.1355501      -0.1260660       0.0002595       0.1267128
              B       4.4220000      -0.1330500      -0.0003402       0.1327808      -0.1265862       0.0002604       0.1272270
              B       4.5800000      -0.1208513      -0.0002795       0.1220311      -0.1286371       0.0002640       0.1292489
              B       4.7720000      -0.1129333      -0.0002259       0.1129258      -0.1302630       0.0002665       0.1308355
              B       4.9680000      -0.1109439      -0.0001938       0.1115602      -0.1308350       0.0002669       0.1313626
              B       5.1640000      -0.1156154      -0.0001841       0.1147094      -0.1302651       0.0002649       0.1307431
              B       5.3560000      -0.1246180      -0.0001962       0.1221272      -0.1286504       0.0002608       0.1290663
              B       5.5140000      -0.1352735      -0.0002225       0.1348112      -0.1267018       0.0002560       0.1269709
              B       5.5480000      -0.1379500      -0.0002300       0.1380707      -0.1262035       0.0002548       0.1264409
              B       5.5780000      -0.1403970      -0.0002371       0.1410309      -0.1257450       0.0002537       0.1259544
              B       5.7360000      -0.1535879      -0.0002755       0.1568274      -0.1233094       0.0002479       0.1233714
             PB       5.7370000      -0.1536840      -0.0002758       0.1569278      -0.1232940       0.0002478       0.1233551
            L25       5.7370000      -0.1536840      -0.0002758       0.1569278      -0.1232940       0.0002478       0.1233551
             SD       5.7940000      -0.1591584      -0.0002922       0.1626511      -0.1224182       0.0002457       0.1224262
           LM45       5.9940000      -0.1789429      -0.0003497       0.1827326      -0.1193451       0.0002384       0.1191893
            BPM       7.6900000      -0.3575233      -0.0008376       0.3671383      -0.0932852       0.0001763       0.0932500
           LM35       7.6900000      -0.3575233      -0.0008376       0.3671383      -0.0932852       0.0001763       0.0932500
             SF       9.4860000      -0.5596915      -0.0013543       0.5732909      -0.0681794       0.0001105       0.0682329
            L15       9.6860000      -0.5824768      -0.0014174       0.5964911      -0.0655081       0.0001032       0.0656076
             QF       9.8360000      -0.5995971      -0.0014689       0.6138584      -0.0636221       0.0000977       0.0636565
            MQF       9.9360000      -0.6053364      -0.0014885       0.6196377      -0.0630914       0.0000949       0.0630625
