Beam Stay Clear nao-linear para a rede Sirius_v403-ac20_2

Pontos para os quais foi calculado: centro trechos retos, centro dipolos, BPMs, comeco quadrupolos

Position [m]   BSC_Hp [mm]   BSC_Hn [mm]   BSC_Vp [mm]   BSC_Vn [mm]
         0        7.3781       -11.777          4.15       -4.1615
       0.3        7.4863       -11.777        4.1429        -4.157
    3.7829        8.7206       -11.745        6.0096       -6.0027
    3.9029        8.7309       -11.815        6.1266       -6.1211
    4.4729        5.9198       -8.2953         9.056       -9.0489
    5.5169        1.0473       -1.4512        11.911       -11.904
    6.8409         6.083       -5.9643        6.9871       -6.9906
    7.2109        7.4948       -6.8737        6.3992        -6.446
    7.6709        7.9202       -6.7725        6.0765       -6.0548
    8.4609        4.0958       -4.2292         9.485       -9.4883
    9.1751       0.98817       -1.8618        11.522       -11.483
    10.549        4.9722       -6.8809          5.68       -5.6719
    10.919        5.5068       -7.1969        4.3498       -4.3534
    11.379        5.5338       -7.3716        3.8296        -3.831
    11.899        3.8556       -5.6425        4.3475       -4.3468
    12.553        1.7391       -2.7805        5.1531       -5.1664
     12.96        1.8349       -1.3935        5.2893       -5.2878
    13.367        2.1565       -2.3068        5.0651       -5.0794
    14.021        3.3224       -5.1475        4.1202        -4.127
    14.291        4.1151       -6.3681        3.7286        -3.726
    15.001        4.4107       -6.9594        4.2642       -4.2684
    15.121        4.4541        -7.084        4.4411       -4.4395
    16.745        1.2079       -2.1864        10.812       -10.799
    17.999        5.9585       -8.3856        6.5598       -6.5607
    18.709        6.2391       -8.0389        5.6347       -5.6153
    18.829        6.0751       -7.9878        5.5401       -5.5169
    19.889        1.8438       -2.7328        9.6908       -9.7051
    20.403        0.8347       -1.2712         11.12       -11.139
    21.307        5.6017       -5.1913        9.1213        -9.124
    21.677        8.4969       -7.4643        7.0089       -7.0082
    22.137        9.0978       -7.6932        6.5211       -6.5351
    22.767        6.3517       -5.4196         7.826       -7.8338
     24.92        4.0895       -4.5964        3.1996       -3.2009
     25.92        3.8576        -4.509        1.9604       -1.9605
     26.92        4.0825       -4.5823        3.1988       -3.2009
    28.933        6.0118       -5.1863        7.9454       -7.9509
    29.703        9.0787        -7.694        6.4877       -6.5376
    29.823        9.5353       -8.1611        6.2088       -6.2577
    30.393        6.5207         -5.88        8.4681       -8.4735
    31.437       0.83315       -1.2692        11.113        -11.14
    32.761        5.2734       -7.1781        6.5079       -6.5073
    33.131         6.234       -8.0262         5.706       -5.7002
    33.591        6.5581       -8.7504        5.6581        -5.658
    34.381        3.2843       -5.5026        9.0105       -8.9885
    35.095         1.201       -2.1749          10.8       -10.804
    36.469        4.2133       -6.8503        5.4099       -5.4195
    36.839        4.4073        -6.959         4.259       -4.2604
    37.299        4.4912       -6.8812        3.7513       -3.7559
    37.819        3.3289       -5.1481         4.127         -4.12
    38.473        2.1629       -2.3087        5.0755       -5.0838
     38.88        1.8344       -1.3934        5.2835       -5.2837
    39.286        1.7384       -2.7838        5.1557       -5.1648
     39.94        3.8603        -5.634        4.3429       -4.3474
     40.21        4.9486       -6.8305        3.9627       -3.9639
     40.92        5.5087       -7.2072        4.3587       -4.3484
     41.04         5.482       -7.2997        4.5605       -4.5594
    42.665       0.99115       -1.8637        11.521        -11.48
    43.919        7.1673       -6.2935        6.8776       -6.8592
    44.629        7.4594        -7.885        6.4847       -6.4994
    44.749        7.2052       -6.9014        6.3836        -6.409
    45.809        1.6223       -2.7343        10.286       -10.268
    46.323        1.0477       -1.4523        11.887       -11.902
    47.227        5.0614       -7.1909        9.7978       -9.7951
    47.597        7.5551       -10.421        7.5011       -7.5134
    48.057        8.7043       -11.738        6.0034       -6.0035
     50.84        7.7454       -11.772        4.2728       -4.2814
     51.84        7.3857       -11.772          4.15       -4.1615
