# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -1.0295993274450299e+00 +6.7077527209940577e-17
1.0000000000000001e-01 +9.0449994855564508e+00 +0.0000000000000000e+00 +9.9999999998235667e-02 +0.0000000000000000e+00 -1.0295994013550667e+00 +6.0369807009317269e-17
2.0000000000000001e-01 +9.0449979422257538e+00 +0.0000000000000000e+00 +1.9999999998588522e-01 +0.0000000000000000e+00 -1.0295994776503348e+00 +5.3662137396466151e-17
3.0000000000000004e-01 +9.0449953700078343e+00 +0.0000000000000000e+00 +2.9999999995236259e-01 +0.0000000000000000e+00 -1.0295995563315696e+00 +4.6954496691931658e-17
4.0000000000000002e-01 +9.0449917689026123e+00 +0.0000000000000000e+00 +3.9999999988708174e-01 +0.0000000000000000e+00 -1.0295996373995078e+00 +4.0246863216256377e-17
5.0000000000000000e-01 +9.0449871389100078e+00 +0.0000000000000000e+00 +4.9999999977945653e-01 +0.0000000000000000e+00 -1.0295997208548853e+00 +3.3539215289980694e-17
5.9999999999999998e-01 +9.0449814800299375e+00 +0.0000000000000000e+00 +5.9999999961890083e-01 +0.0000000000000000e+00 -1.0295998066984384e+00 +2.6831531233642866e-17
6.9999999999999996e-01 +9.0449747922623160e+00 +0.0000000000000000e+00 +6.9999999939482849e-01 +0.0000000000000000e+00 -1.0295998949309029e+00 +2.0123789367778872e-17
7.9999999999999993e-01 +9.0449670756070564e+00 +0.0000000000000000e+00 +7.9999999909665354e-01 +0.0000000000000000e+00 -1.0295999855530151e+00 +1.3415968012922362e-17
8.9999999999999991e-01 +9.0449583300640679e+00 +0.0000000000000000e+00 +8.9999999871378988e-01 +0.0000000000000000e+00 -1.0296000785655111e+00 +6.7080454896046415e-18
9.9999999999999989e-01 +9.0449485556332601e+00 +0.0000000000000000e+00 +9.9999999823565133e-01 +0.0000000000000000e+00 -1.0296001739691267e+00 +1.1835452139082319e-25
1.0999999999999999e+00 +9.0449377523145458e+00 +0.0000000000000000e+00 +1.0999999976516517e+00 -2.6837505312532233e-20 -1.0296002218025506e+00 -2.6243675035844264e-19
1.2000000000000000e+00 +9.0449259201078718e+00 +0.0000000000000000e+00 +1.1999999969512050e+00 -5.3660878321656050e-20 -1.0296002720234878e+00 -5.2473530472070778e-19
1.3000000000000000e+00 +9.0449130590131865e+00 +0.0000000000000000e+00 +1.2999999961237252e+00 -8.0468275148462239e-20 -1.0296003246320129e+00 -7.8687763229058861e-19
1.4000000000000001e+00 +9.0448991690304403e+00 +0.0000000000000000e+00 +1.3999999951586259e+00 -1.0725785238755146e-19 -1.0296003796281996e+00 -1.0488457069022041e-18
1.5000000000000002e+00 +9.0448842501595799e+00 +0.0000000000000000e+00 +1.4999999940453212e+00 -1.3402776663340350e-19 -1.0296004370121219e+00 -1.3106215023884918e-18
1.6000000000000003e+00 +9.0448683024005501e+00 +0.0000000000000000e+00 +1.5999999927732251e+00 -1.6077617448037364e-19 -1.0296004967838532e+00 -1.5721869925811705e-18
1.7000000000000004e+00 +9.0448513257532905e+00 +0.0000000000000000e+00 +1.6999999913317514e+00 -1.8750123252267302e-19 -1.0296005589434671e+00 -1.8335241513105502e-18
1.8000000000000005e+00 +9.0448333202177427e+00 +0.0000000000000000e+00 +1.7999999897103138e+00 -2.1420109735438733e-19 -1.0296006234910380e+00 -2.0946149524057147e-18
1.9000000000000006e+00 +9.0448142857938443e+00 +0.0000000000000000e+00 +1.8999999878983262e+00 -2.4087392556945421e-19 -1.0296006904266390e+00 -2.3554413696942990e-18
