# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.0449994855564508e+00 +0.0000000000000000e+00 +9.9999999998235667e-02 -1.0288871103304401e-05 +0.0000000000000000e+00 +9.9999999994706956e-01
2.0000000000000001e-01 +9.0449979422257538e+00 +0.0000000000000000e+00 +1.9999999998588522e-01 -2.0577742956025975e-05 +0.0000000000000000e+00 +9.9999999978827825e-01
3.0000000000000004e-01 +9.0449953700078343e+00 +0.0000000000000000e+00 +2.9999999995236259e-01 -3.0866615580915031e-05 +0.0000000000000000e+00 +9.9999999952362606e-01
4.0000000000000002e-01 +9.0449917689026123e+00 +0.0000000000000000e+00 +3.9999999988708174e-01 -4.1155489000729213e-05 +0.0000000000000000e+00 +9.9999999915311288e-01
5.0000000000000000e-01 +9.0449871389100078e+00 +0.0000000000000000e+00 +4.9999999977945653e-01 -5.1444363238233536e-05 +0.0000000000000000e+00 +9.9999999867673872e-01
5.9999999999999998e-01 +9.0449814800299375e+00 +0.0000000000000000e+00 +5.9999999961890083e-01 -6.1733238316200365e-05 +0.0000000000000000e+00 +9.9999999809450357e-01
6.9999999999999996e-01 +9.0449747922623160e+00 +0.0000000000000000e+00 +6.9999999939482849e-01 -7.2022114257409411e-05 +0.0000000000000000e+00 +9.9999999740640744e-01
7.9999999999999993e-01 +9.0449670756070564e+00 +0.0000000000000000e+00 +7.9999999909665354e-01 -8.2310991084647757e-05 +0.0000000000000000e+00 +9.9999999661245031e-01
8.9999999999999991e-01 +9.0449583300640679e+00 +0.0000000000000000e+00 +8.9999999871378988e-01 -9.2599868820709833e-05 +0.0000000000000000e+00 +9.9999999571263209e-01
9.9999999999999989e-01 +9.0449485556332601e+00 +0.0000000000000000e+00 +9.9999999823565133e-01 -1.0288874748839743e-04 +0.0000000000000000e+00 +9.9999999470695278e-01
1.0999999999999999e+00 +9.0449377523145458e+00 +0.0000000000000000e+00 +1.0999999976516517e+00 -1.1317762686088620e-04 +0.0000000000000000e+00 +9.9999999359541236e-01
1.2000000000000000e+00 +9.0449259201078718e+00 +0.0000000000000000e+00 +1.1999999969512050e+00 -1.2346650671132646e-04 +0.0000000000000000e+00 +9.9999999237801085e-01
1.3000000000000000e+00 +9.0449130590131865e+00 +0.0000000000000000e+00 +1.2999999961237252e+00 -1.3375538706248799e-04 +0.0000000000000000e+00 +9.9999999105474824e-01
1.4000000000000001e+00 +9.0448991690304403e+00 +0.0000000000000000e+00 +1.3999999951586259e+00 -1.4404426793714132e-04 +0.0000000000000000e+00 +9.9999998962562442e-01
1.5000000000000002e+00 +9.0448842501595799e+00 +0.0000000000000000e+00 +1.4999999940453212e+00 -1.5433314935805776e-04 +0.0000000000000000e+00 +9.9999998809063950e-01
