### CURVA DE EXCITACAO - BOBINA GIRANTE ###

### Dados de Configuração ###

arquivo                      C:\Users\labimas\Desktop\teste.dat
data                         05/02/2014
hora                         17:11:48
temperatura(C)               0
ganho                        100
nr_pontos_integracao         128
velocidade(rps)              1.0
aceleracao(rps^2)            0.5
nr_coletas                   1
nr_voltas                    19
intervalo_analise            2-18
sentido_de_rotacao           Horario
corrente_alimentacao_avg(A)  0.00000e+00
corrente_alimentacao_std(A)  0.00000e+00
observacoes                  OBS



### Dados de Leitura ###

n   avg_L.Nn(T/m^n-2)   avg_L.Sn(T/m^n-2)   avg_L.Bn(T/m^n-2)   std_L.Nn(T/m^n-2)   std_L.Sn(T/m^n-2)   std_L.Bn(T/m^n-2)   avg_angulo(rad)     avg_L.Nn'(T/m^n-2)  avg_L.Sn'(T/m^n-2)
1   +1.01895e-06        +3.45847e-07        +1.07605e-06        +2.67431e-06        +2.64934e-06        +1.82117e-06        +0.00000e+00        +9.03328e-07        +9.03328e-07        
2   +1.00001e-05        -5.39168e-06        +1.13610e-05        +5.95993e-05        +2.78962e-05        +3.92373e-05        -2.47241e-01        +1.13610e-05        +1.13610e-05        
3   +4.67893e-05        -1.89982e-04        +1.95659e-04        +1.77561e-03        +1.43121e-03        +1.40798e-03        +0.00000e+00        +1.62842e-04        +1.62842e-04        
4   -3.01547e-02        +9.47391e-03        +3.16079e-02        +9.01562e-02        +5.58169e-02        +7.28500e-02        +0.00000e+00        -2.44867e-02        -2.44867e-02        
5   -6.03830e-01        +7.86263e-01        +9.91373e-01        +4.12447e+00        +2.02098e+00        +2.89733e+00        +0.00000e+00        -9.40948e-01        -9.40948e-01        
6   +1.18919e+01        +2.38356e+01        +2.66374e+01        +1.95627e+02        +7.25531e+01        +1.08924e+02        +0.00000e+00        -2.27073e+01        -2.27073e+01        
7   -2.75078e+03        +2.39995e+03        +3.65056e+03        +1.01472e+04        +3.06312e+03        +7.48566e+03        +0.00000e+00        -1.93138e+03        -1.93138e+03        
8   -2.49056e+04        +6.43447e+04        +6.89966e+04        +5.62569e+05        +1.55118e+05        +3.69129e+05        +0.00000e+00        -4.92230e+04        -4.92230e+04        
9   -2.74246e+05        +6.13650e+04        +2.81028e+05        +2.55284e+07        +5.02039e+06        +1.79899e+07        +0.00000e+00        +1.18235e+05        +1.18235e+05        
10  -1.78880e+08        +2.90446e+08        +3.41111e+08        +1.26408e+09        +5.13801e+08        +9.75216e+08        +0.00000e+00        -3.98755e+07        -3.98755e+07        
11  +1.57405e+09        +2.37462e+10        +2.37983e+10        +5.74798e+10        +1.89115e+10        +4.20262e+10        +0.00000e+00        -1.11608e+10        -1.11608e+10        
12  -8.66404e+10        +2.00078e+11        +2.18031e+11        +2.84615e+12        +2.08897e+12        +2.00492e+12        +0.00000e+00        +5.05462e+10        +5.05462e+10        
13  -2.62613e+13        -2.97441e+11        +2.62630e+13        +1.63043e+14        +8.40196e+13        +1.09168e+14        +0.00000e+00        +2.61706e+13        +2.61706e+13        
14  -6.63730e+14        +3.08555e+15        +3.15613e+15        +8.29169e+15        +5.44025e+15        +6.41748e+15        +0.00000e+00        +1.60006e+15        +1.60006e+15        
15  -4.86293e+16        -1.41212e+16        +5.06381e+16        +5.54803e+17        +2.53296e+17        +4.12449e+17        +0.00000e+00        +3.34340e+16        +3.34340e+16        



### Dados Armazenados ###

+1.04066600e+06  +1.11169900e+06  +1.16461200e+06  +1.14617900e+06  +1.13942600e+06  +1.15839700e+06  +1.18437100e+06  +1.10494200e+06  +1.13698600e+06  +1.05375500e+06  
+1.03665900e+06  +1.07713700e+06  +1.12433800e+06  +1.11803400e+06  +1.12122200e+06  +1.14681100e+06  +1.15143500e+06  +1.06924200e+06  +1.12065300e+06  +1.02786600e+06  
+9.96616000e+05  +1.07668800e+06  +1.09987700e+06  +1.10843600e+06  +1.10506300e+06  +1.09829800e+06  +1.12473300e+06  +1.04778300e+06  +1.07837500e+06  +9.92055000e+05  
+1.05852000e+06  +1.11146000e+06  +1.16937500e+06  +1.15609000e+06  +1.15667000e+06  +1.18271400e+06  +1.19901300e+06  +1.10791300e+06  +1.15844600e+06  +1.05839500e+06  
+9.88879000e+05  +1.03713900e+06  +1.08514600e+06  +1.08841600e+06  +1.07840200e+06  +1.11063800e+06  +1.12584300e+06  +1.02657300e+06  +1.07662200e+06  +9.94581000e+05  
