# TRACKC++ version(Aug 25 2014 16:45:52)
# Accelerator Physics Group - LNLS
# Campinas BRAZIL
# contact: xresende@gmail.com
# [closed-orbit]
# ebeam_energy[eV] : 3000000000.000000
# harmonic_number  : 864
# cavity_state     : on
# radiation_state  : on
# chamber_state    : on

# idx fam_name        s[m]                   rx[m]                  ry[m]                  de                     px[rad]                py[rad]                dl[m]                 
# --- --------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
00001 inicio          +0.000000000000000E+00 +9.869866920516946E-10 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00002 mia             +0.000000000000000E+00 +9.869866920516946E-10 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00003 dmiainj         +0.000000000000000E+00 +9.869866920516946E-10 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00004 inj             +3.000000000000000E-01 +2.727050667701934E-09 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00005 dinjk3          +3.000000000000000E-01 +2.727050667701934E-09 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00006 kick            +6.000000000000000E-01 +4.467114643352173E-09 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980974E-02
00007 dk3k4           +1.200000000000000E+00 +7.947242594652652E-09 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980973E-02
00008 kick            +1.800000000000000E+00 +1.142737054595313E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980972E-02
00009 dk4pmm          +2.400000000000000E+00 +1.490749849725361E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980971E-02
00010 pmm             +2.600000000000000E+00 +1.606754114768710E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
00011 dpmmcv          +3.200000000000000E+00 +1.954766909898755E-08 +0.000000000000000E+00 -6.599980156287984E-05 +5.799830439243799E-09 +0.000000000000000E+00 -1.899006198980970E-02
